DATE,LNU02024230
2000-01-01,17792
2000-02-01,18014
2000-03-01,18220
2000-04-01,18188
2000-05-01,18165
2000-06-01,18023
2000-07-01,17961
2000-08-01,18172
2000-09-01,18380
2000-10-01,18455
2000-11-01,18281
2000-12-01,18519
2001-01-01,18366
2001-02-01,18510
2001-03-01,18722
2001-04-01,18775
2001-05-01,18915
2001-06-01,18705
2001-07-01,18710
2001-08-01,18920
2001-09-01,19193
2001-10-01,19331
2001-11-01,19269
2001-12-01,19355
2002-01-01,19211
2002-02-01,19506
2002-03-01,19528
2002-04-01,19748
2002-05-01,19926
2002-06-01,19802
2002-07-01,19848
2002-08-01,19995
2002-09-01,20550
2002-10-01,20646
2002-11-01,20560
2002-12-01,20437
2003-01-01,20734
2003-02-01,20909
2003-03-01,21044
2003-04-01,21068
2003-05-01,21137
2003-06-01,20917
2003-07-01,20825
2003-08-01,21073
2003-09-01,21390
2003-10-01,21777
2003-11-01,21798
2003-12-01,21808
2004-01-01,21617
2004-02-01,21899
2004-03-01,22084
2004-04-01,21851
2004-05-01,21956
2004-06-01,21827
2004-07-01,21871
2004-08-01,22165
2004-09-01,22442
2004-10-01,22579
2004-11-01,22687
2004-12-01,22823
2005-01-01,22493
2005-02-01,22832
2005-03-01,22980
2005-04-01,23399
2005-05-01,23429
2005-06-01,23313
2005-07-01,23273
2005-08-01,23523
2005-09-01,23847
2005-10-01,24146
2005-11-01,24004
2005-12-01,24081
2006-01-01,23965
2006-02-01,24111
2006-03-01,24372
2006-04-01,24666
2006-05-01,24631
2006-06-01,24518
2006-07-01,24425
2006-08-01,24626
2006-09-01,25113
2006-10-01,25340
2006-11-01,25377
2006-12-01,25424
2007-01-01,24833
2007-02-01,25215
2007-03-01,25485
2007-04-01,25453
2007-05-01,25682
2007-06-01,25580
2007-07-01,25686
2007-08-01,25674
2007-09-01,26137
2007-10-01,26223
2007-11-01,26376
2007-12-01,26320
2008-01-01,26291
2008-02-01,26500
2008-03-01,26677
2008-04-01,26725
2008-05-01,26679
2008-06-01,26586
2008-07-01,26631
2008-08-01,26704
2008-09-01,26958
2008-10-01,27319
2008-11-01,27233
2008-12-01,27191
2009-01-01,27049
2009-02-01,26970
2009-03-01,27000
2009-04-01,27086
2009-05-01,27314
2009-06-01,26944
2009-07-01,26878
2009-08-01,26908
2009-09-01,27305
2009-10-01,27416
2009-11-01,27410
2009-12-01,27307
2010-01-01,27295
2010-02-01,27444
2010-03-01,27776
2010-04-01,27995
2010-05-01,28104
2010-06-01,27825
2010-07-01,27789
2010-08-01,27831
2010-09-01,28305
2010-10-01,28091
2010-11-01,28122
2010-12-01,28276
2011-01-01,28106
2011-02-01,28437
2011-03-01,28622
2011-04-01,28929
2011-05-01,28895
2011-06-01,28509
2011-07-01,28418
2011-08-01,28660
2011-09-01,29345
2011-10-01,29346
2011-11-01,29346
2011-12-01,29378
2012-01-01,29729
2012-02-01,30188
2012-03-01,30295
2012-04-01,30300
2012-05-01,30527
2012-06-01,30290
2012-07-01,29896
2012-08-01,30349
2012-09-01,30832
2012-10-01,31108
2012-11-01,31149
2012-12-01,31151
2013-01-01,31012
2013-02-01,31234
2013-03-01,31383
2013-04-01,31540
2013-05-01,31765
2013-06-01,31326
2013-07-01,31181
2013-08-01,31494
2013-09-01,31611
2013-10-01,31616
2013-11-01,31718
2013-12-01,31609
2014-01-01,31642
2014-02-01,32111
2014-03-01,32052
2014-04-01,32324
2014-05-01,32559
2014-06-01,32126
2014-07-01,32082
2014-08-01,32128
2014-09-01,32720
2014-10-01,32893
2014-11-01,32900
2014-12-01,32858
2015-01-01,32806
2015-02-01,32810
2015-03-01,33260
2015-04-01,33605
2015-05-01,33701
2015-06-01,33245
2015-07-01,33282
2015-08-01,33145
2015-09-01,33483
2015-10-01,33951
2015-11-01,33978
2015-12-01,34014
2016-01-01,33832
2016-02-01,34225
2016-03-01,34292
2016-04-01,34632
2016-05-01,34516
2016-06-01,34275
2016-07-01,34353
2016-08-01,34236
2016-09-01,34705
2016-10-01,34834
