DATE,USPRIV
2000-01-01,110439
2000-02-01,110541
2000-03-01,110875
2000-04-01,111093
2000-05-01,110975
2000-06-01,111188
2000-07-01,111384
2000-08-01,111404
2000-09-01,111642
2000-10-01,111620
2000-11-01,111829
2000-12-01,111927
2001-01-01,111870
2001-02-01,111871
2001-03-01,111807
2001-04-01,111479
2001-05-01,111404
2001-06-01,111165
2001-07-01,111005
2001-08-01,110815
2001-09-01,110551
2001-10-01,110193
2001-11-01,109849
2001-12-01,109650
2002-01-01,109490
2002-02-01,109343
2002-03-01,109282
2002-04-01,109191
2002-05-01,109113
2002-06-01,109135
2002-07-01,109055
2002-08-01,108996
2002-09-01,108980
2002-10-01,109093
2002-11-01,109081
2002-12-01,108917
2003-01-01,108971
2003-02-01,108823
2003-03-01,108628
2003-04-01,108599
2003-05-01,108619
2003-06-01,108589
2003-07-01,108586
2003-08-01,108621
2003-09-01,108777
2003-10-01,108921
2003-11-01,108961
2003-12-01,109072
2004-01-01,109242
2004-02-01,109276
2004-03-01,109570
2004-04-01,109793
2004-05-01,110101
2004-06-01,110190
2004-07-01,110229
2004-08-01,110330
2004-09-01,110485
2004-10-01,110810
2004-11-01,110838
2004-12-01,110967
2005-01-01,111059
2005-02-01,111289
2005-03-01,111429
2005-04-01,111780
2005-05-01,111927
2005-06-01,112192
2005-07-01,112474
2005-08-01,112662
2005-09-01,112748
2005-10-01,112849
2005-11-01,113156
2005-12-01,113295
2006-01-01,113605
2006-02-01,113890
2006-03-01,114146
2006-04-01,114313
2006-05-01,114329
2006-06-01,114415
2006-07-01,114571
2006-08-01,114714
2006-09-01,114801
2006-10-01,114819
2006-11-01,115012
2006-12-01,115178
2007-01-01,115411
2007-02-01,115465
2007-03-01,115636
2007-04-01,115689
2007-05-01,115814
2007-06-01,115878
2007-07-01,115881
2007-08-01,115802
2007-09-01,115837
2007-10-01,115904
2007-11-01,115982
2007-12-01,116037
2008-01-01,116044
2008-02-01,115929
2008-03-01,115825
2008-04-01,115608
2008-05-01,115390
2008-06-01,115191
2008-07-01,114931
2008-08-01,114666
2008-09-01,114244
2008-10-01,113759
2008-11-01,112979
2008-12-01,112288
2009-01-01,111474
2009-02-01,110774
2009-03-01,109967
2009-04-01,109164
2009-05-01,108873
2009-06-01,108444
2009-07-01,108170
2009-08-01,107942
2009-09-01,107809
2009-10-01,107536
2009-11-01,107520
2009-12-01,107292
2010-01-01,107311
2010-02-01,107257
2010-03-01,107378
2010-04-01,107570
2010-05-01,107665
2010-06-01,107788
2010-07-01,107889
2010-08-01,108004
2010-09-01,108125
2010-10-01,108332
2010-11-01,108465
2010-12-01,108574
2011-01-01,108624
2011-02-01,108855
2011-03-01,109103
2011-04-01,109457
2011-05-01,109585
2011-06-01,109785
2011-07-01,109970
2011-08-01,110109
2011-09-01,110389
2011-10-01,110576
2011-11-01,110749
2011-12-01,110973
2012-01-01,111320
2012-02-01,111581
2012-03-01,111818
2012-04-01,111908
2012-05-01,112038
2012-06-01,112110
2012-07-01,112270
2012-08-01,112444
2012-09-01,112624
2012-10-01,112788
2012-11-01,112959
2012-12-01,113192
2013-01-01,113395
2013-02-01,113692
2013-03-01,113842
2013-04-01,114035
2013-05-01,114260
2013-06-01,114433
2013-07-01,114595
2013-08-01,114837
2013-09-01,115016
2013-10-01,115219
2013-11-01,115499
2013-12-01,115570
2014-01-01,115767
2014-02-01,115925
2014-03-01,116186
2014-04-01,116468
2014-05-01,116683
2014-06-01,116950
2014-07-01,117194
2014-08-01,117425
2014-09-01,117662
2014-10-01,117852
2014-11-01,118176
2014-12-01,118455
2015-01-01,118669
2015-02-01,118921
2015-03-01,119011
2015-04-01,119252
2015-05-01,119508
2015-06-01,119734
2015-07-01,119979
2015-08-01,120102
2015-09-01,120264
2015-10-01,120568
2015-11-01,120847
2015-12-01,121106
2016-01-01,121261
2016-02-01,121483
2016-03-01,121650
2016-04-01,121797
2016-05-01,121796
2016-06-01,122034
2016-07-01,122255
2016-08-01,122387
2016-09-01,122575
2016-10-01,122717
